dataset,knn,adaptive,biclique
CIFAR_raw,597.6969284584652,489.42002841544337,952.140242
CIFAR_vae,77.90798899021,54.64936134400777,125.885512852
CIFAR_simclr,109.41594232037664,105.76792521623896,132.57154845899998
CIFAR_simclr_pca,39.25999927081168,32.61564931258559,89.26428845555556
FMNIST_raw,197.92369170908816,143.47946471231057,283.423013
FMNIST_vae,56.02070640045218,48.3811883074604,67.28724795299999
FMNIST_simclr,112.63446780697444,114.04607567813248,125.52503513100001
FMNIST_simclr_pca,50.12148888468742,52.181298355851325,68.04049035222222
MNIST_raw,190.3443001238629,197.87422484577635,312.945021
MNIST_vae,61.713122136,51.58860677268356,76.231299632
MNIST_simclr,129.9921857310552,99.75881877719424,124.41518282333332
MNIST_simclr_pca,47.9405834056437,45.91430878070183,57.167698639
